area,name,from_region,to_region,transition_type,direction,rule,notes
mourners_mile,Mourner's Mile Knight's Rest Main South Burrow,Mourner's Mile Knight's Rest Main,Mourner's Mile Hidden Graves,BURROW,SOUTH,CanBurrow(),
mourners_mile,,Mourner's Mile Knight's Rest Chest,Mourner's Mile Knight's Rest Main,INTERNAL,,CanClimb(),
mourners_mile,Mourner's Mile Knight's Rest Chest North Burrow,Mourner's Mile Knight's Rest Chest,Mourner's Mile Knight's Gate Main,BURROW,NORTH,CanBurrow(),
mourners_mile,Mourner's Mile Statue Room Main North Transition,Mourner's Mile Statue Room Main,Mourner's Mile Knight's Rest Main,SCREENS,NORTH,,
mourners_mile,Mourner's Mile Statue Room Main West Transition,Mourner's Mile Statue Room Main,Eastern Hearth East Corner Cliff,SCREENS,WEST,,
mourners_mile,,Mourner's Mile Statue Room Rope,Mourner's Mile Statue Room Main,INTERNAL,,CanClimb(),
mourners_mile,Mourner's Mile Statue Room Rope East Transition,Mourner's Mile Statue Room Rope,Mourner's Mile Hidden Graves,SCREENS,EAST,,
mourners_mile,Mourner's Mile Knight's Gate Main South Transition,Mourner's Mile Knight's Gate Main,Mourner's Mile Knight's Rest Main,SCREENS,SOUTH,,
mourners_mile,Mourner's Mile Knight's Gate Main South Burrow Transition,Mourner's Mile Knight's Gate Main,Mourner's Mile Knight's Rest Chest,BURROW,SOUTH,CanBurrow(),
mourners_mile,Mourner's Mile Knight's Gate Main Geyser Drop,Mourner's Mile Knight's Gate Main,Mourner's Mile Shallow Tomb,GEYSER_DOWN,SOUTH,,
mourners_mile,Mourner's Mile Knight's Gate Main Door,Mourner's Mile Knight's Gate Main,Mourner's Mile Spike Vault Main,DOORS,NORTH,,
mourners_mile,Mourner's Mile Knight's Gate Main East Transition,Mourner's Mile Knight's Gate Main,Mourner's Mile Stairs,SCREENS,EAST,,
mourners_mile,Mourner's Mile Knight's Gate Main North Transition,Mourner's Mile Knight's Gate Main,Mourner's Mile Knight's Guard Main,SCREENS,NORTH,,
mourners_mile,Mourner's Mile Knight's Gate Button Door,Mourner's Mile Knight's Gate Button,Mourner's Mile Spike Vault Upper,DOORS,NORTH,,
mourners_mile,Mourner's Mile Hidden Graves Right Geyser Drop,Mourner's Mile Hidden Graves,Mourner's Mile Dark Shallow Tomb Peekhole,GEYSER_DOWN,OVERWORLD,CanBurrow(),
mourners_mile,Mourner's Mile Hidden Graves North Burrow,Mourner's Mile Hidden Graves,Mourner's Mile Knight's Rest Main,SCREENS,NORTH,CanBurrow(),
mourners_mile,Mourner's Mile Hidden Graves Left Geyser Drop,Mourner's Mile Hidden Graves,Mourner's Mile Dark Shallow Tomb Dark,GEYSER_DOWN,OVERWORLD,CanBurrow(),
mourners_mile,Mourner's Mile Hidden Graves West Transition,Mourner's Mile Hidden Graves,Mourner's Mile Statue Room Rope,SCREENS,WEST,,
mourners_mile,Mourner's Mile Shallow Tomb Geyser Up,Mourner's Mile Shallow Tomb,Mourner's Mile Knight's Gate Main,GEYSER_UP,OVERWORLD,CanBurrow(),
mourners_mile,Mourner's Mile Dark Shallow Tomb Dark Geyser Up,Mourner's Mile Dark Shallow Tomb Dark,Mourner's Mile Hidden Graves,GEYSER_UP,OVERWORLD,CanBurrow(),
mourners_mile,Mourner's Mile Dark Shallow Tomb Peekhole Geyser Up,Mourner's Mile Dark Shallow Tomb Peekhole,Mourner's Mile Hidden Graves,GEYSER_UP,OVERWORLD,CanBurrow(),
mourners_mile,Mourner's Mile Spike Vault Main Exit,Mourner's Mile Spike Vault Main,Mourner's Mile Knight's Gate Main,DOORS,SOUTH,,
mourners_mile,,Mourner's Mile Spike Vault Upper,Mourner's Mile Spike Vault Main,INTERNAL,,,
mourners_mile,,Mourner's Mile Spike Vault Upper,Mourner's Mile Spike Vault Hidden,INTERNAL,,,
mourners_mile,Mourner's Mile Spike Vault Upper Exit,Mourner's Mile Spike Vault Upper,Mourner's Mile Knight's Gate Button,DOORS,SOUTH,,
mourners_mile,,Mourner's Mile Spike Vault Hidden,Mourner's Mile Spike Vault Main,INTERNAL,,,
mourners_mile, Mourner's Mile Spike Vault Hidden West Transition,Mourner's Mile Spike Vault Hidden,Mourner's Mile Spike Vault Hidden Room,SCREENS,WEST,,
mourners_mile,Mourner's Mile Spike Vault Hidden Room East Transition,Mourner's Mile Spike Vault Hidden Room,Mourner's Mile Spike Vault Hidden,SCREENS,EAST,,
mourners_mile,Mourner's Mile Knight's Guard Main South Transition,Mourner's Mile Knight's Guard Main,Mourner's Mile Knight's Gate Main,SCREENS,SOUTH,,
mourners_mile,Mourner's Mile Knight's Guard Main East Transition South,Mourner's Mile Knight's Guard Main,Mourner's Mile Graveyard,SCREENS,EAST,,
mourners_mile,,Mourner's Mile Knight's Guard Main,Mourner's Mile Knight's Guard Bike,INTERNAL,,"Has(""Mourners miles bike Kear"")","TODO UNDEFINED KEAR - placeholder item name, fix later"
mourners_mile,Mourner's Mile Knight's Guard Main East Transition North,Mourner's Mile Knight's Guard Main,Mourner's Mile Graveyard ledge,SCREENS,EAST,,
mourners_mile,Mourner's Mile Knight's Guard Ledge East Transition,Mourner's Mile Knight's Guard Ledge,Mourner's Mile Graveyard ledge,SCREENS,EAST,,
mourners_mile,Mourner's Mile Knight's Guard Ledge West Burrow,Mourner's Mile Knight's Guard Ledge,Mourner's Mile Tower Tunnel Dark,BURROW,WEST,CanBurrow(),
mourners_mile,,Mourner's Mile Knight's Guard Ledge,Mourner's Mile Knight's Guard Main,INTERNAL,,"Has(""Mourners miles bike Kear"")","TODO UNDEFINED KEAR - placeholder item name, fix later"
mourners_mile,Mourner's Mile Knight's Guard Bike Mina's Grave Door,Mourner's Mile Knight's Guard Bike,Mourner's Mile Mina's Grave,DOORS,NORTH,"CanJumpTiles(distance=2) & Has(""SparkUpgrade"", count=3)",
mourners_mile,,Mourner's Mile Knight's Guard Generator,Mourner's Mile Knight's Guard Main,INTERNAL,,,
mourners_mile,,Mourner's Mile Knight's Guard Generator,Mourner's Mile Knight's Guard Hill,INTERNAL,,CanBurrow(),
mourners_mile,Mourner's Mile Knight's Guard Generator Outside Door,Mourner's Mile Knight's Guard Generator,Mourner's Mile Tower Tunnel Main,STAIRS,NORTH,,
mourners_mile,,Mourner's Mile Knight's Guard Hill,Mourner's Mile Knight's Guard Generator,INTERNAL,,CanBurrow(),
mourners_mile,Mourner's Mile Graveyard West Transition,Mourner's Mile Graveyard,Mourner's Mile Knight's Guard Main,SCREENS,WEST,,
mourners_mile,Mourner's Mile Graveyard Upper Geyser,Mourner's Mile Graveyard,Mourner's Mile Spike Vault Upper,GEYSER_DOWN,OVERWORLD,CanBurrow(),
mourners_mile,Mourner's Mile Graveyard Hidden Geyser,Mourner's Mile Graveyard,Mourner's Mile Spike Vault Hidden,GEYSER_DOWN,OVERWORLD,CanBurrow(),
mourners_mile,Mourner's Mile Graveyard Main Geyser,Mourner's Mile Graveyard,Mourner's Mile Spike Vault Main,GEYSER_DOWN,OVERWORLD,CanBurrow(),
mourners_mile,Mourner's Mile Graveyard Upper Door Geyser,Mourner's Mile Graveyard,Mourner's Mile Spike Vault Upper,GEYSER_DOWN,OVERWORLD,CanBurrow(),
mourners_mile,Mourner's Mile Graveyard ledge West Transition South,Mourner's Mile Graveyard ledge,Mourner's Mile Knight's Guard Main,SCREENS,WEST,,
mourners_mile,Mourner's Mile Graveyard ledge West Transition North,Mourner's Mile Graveyard ledge,Mourner's Mile Knight's Guard Ledge,SCREENS,WEST,,
mourners_mile,Mourner's Mile Tower Tunnel Main North Door,Mourner's Mile Tower Tunnel Main,Queensbury Crypt Solemn Generator,STAIRS,NORTH,,
mourners_mile,Mourner's Mile Tower Tunnel Main Stairs,Mourner's Mile Tower Tunnel Main,Mourner's Mile Knight's Guard Generator,STAIRS,NORTH,,
mourners_mile,Mourner's Mile Tower Tunnel Dark East Burrow,Mourner's Mile Tower Tunnel Dark,Mourner's Mile Knight's Guard Ledge,BURROW,EAST,CanBurrow(),
mourners_mile,Mourner's Mile Mina's Grave Exit,Mourner's Mile Mina's Grave,Mourner's Mile Knight's Guard Bike,DOORS,SOUTH,,
mourners_mile,Mourner's Mile Stairs West Transition,Mourner's Mile Stairs,Mourner's Mile Knight's Gate Main,SCREENS,WEST,,
mourners_mile,Mourner's Mile Stairs South Burrow,Mourner's Mile Stairs,Mourner's Mile Spike Hell Mourner,SCREENS,SOUTH,CanBurrow(),
mourners_mile,Mourner's Mile Stairs East Area Transition,Mourner's Mile Stairs,Queensbury Crypt Old Entrance,AREA_SCREENS,EAST,,
mourners_mile,Mourner's Mile Spike Hell Mourner North Burrow,Mourner's Mile Spike Hell Mourner,Mourner's Mile Stairs,SCREENS,NORTH,CanBurrow(),
mourners_mile,,Mourner's Mile Spike Hell Mourner,Mourner's Mile Spike Hell Sandfall,INTERNAL,,"Has(""TractionTreads"")",
mourners_mile,Mourner's Mile Spike Hell Sandfall East Area Transition,Mourner's Mile Spike Hell Sandfall,Sandfalls Bone Junction Plank,SCREENS,EAST,,
mourners_mile,,Mourner's Mile Spike Hell Sandfall,Mourner's Mile Spike Hell Mourner,INTERNAL,,,
queensbury_crypt,Queensbury Crypt Old Entrance West Area Transitions,Queensbury Crypt Old Entrance,Mourner's Mile Stairs,AREA_SCREENS,WEST,,
queensbury_crypt,Queensbury Crypt Old Entrance East Transition,Queensbury Crypt Old Entrance,Queensbury Crypt Old Button,SCREENS,EAST,,
queensbury_crypt,Queensbury Crypt Old Button West Transition,Queensbury Crypt Old Button,Queensbury Crypt Old Entrance,SCREENS,WEST,,
queensbury_crypt,Queensbury Crypt Old Button North Transition,Queensbury Crypt Old Button,Queensbury Crypt Old Graveyard Main,SCREENS,NORTH,,
queensbury_crypt,Queensbury Crypt Old Chamber West Transition,Queensbury Crypt Old Chamber,Queensbury Crypt Old Graveyard Main,SCREENS,WEST,,
queensbury_crypt,,Queensbury Crypt Old Graveyard Main,Queensbury Crypt Old Graveyard Sodsby,INTERNAL,,CanBurrow(),
queensbury_crypt,Queensbury Crypt Old Graveyard Main South Transition,Queensbury Crypt Old Graveyard Main,Queensbury Crypt Old Button,SCREENS,SOUTH,,
queensbury_crypt,Queensbury Crypt Old Graveyard Main East Transition,Queensbury Crypt Old Graveyard Main,Queensbury Crypt Old Chamber,SCREENS,EAST,,
queensbury_crypt,Queensbury Crypt Old Graveyard Main Hidden North Transition,Queensbury Crypt Old Graveyard Main,Queensbury Crypt Bonnet Tomb,SCREENS,NORTH,"Has(""Queensbury Crypt Bonnet Tomb Kear"")",
queensbury_crypt,Queensbury Crypt Old Graveyard Main North Transition,Queensbury Crypt Old Graveyard Main,Queensbury Crypt Broken Bridge,SCREENS,NORTH,,
queensbury_crypt,,Queensbury Crypt Old Graveyard Sodsby,Queensbury Crypt Old Graveyard Main,INTERNAL,,CanBurrow(),
queensbury_crypt,Queensbury Crypt Bonnet Tomb North Burrow,Queensbury Crypt Bonnet Tomb,Queensbury Crypt Bonnet Tomb Inner,BURROW,NORTH,CanBurrow(),
queensbury_crypt,Queensbury Crypt Bonnet Tomb South Transition,Queensbury Crypt Bonnet Tomb,Queensbury Crypt Old Graveyard Main,SCREENS,SOUTH,"Has(""Queensbury Crypt Bonnet Tomb Kear"")",
queensbury_crypt,Queensbury Crypt Bonnet Tomb Inner South Burrow,Queensbury Crypt Bonnet Tomb Inner,Queensbury Crypt Bonnet Tomb,BURROW,SOUTH,CanBurrow(),
queensbury_crypt,Queensbury Crypt Broken Bridge South Transition,Queensbury Crypt Broken Bridge,Queensbury Crypt Old Graveyard Main,SCREENS,SOUTH,,
queensbury_crypt,Queensbury Crypt Broken Bridge North Transition,Queensbury Crypt Broken Bridge,Queensbury Crypt Castle Outside Main,SCREENS,NORTH,,
queensbury_crypt,Queensbury Crypt Castle Outside Main East Transition,Queensbury Crypt Castle Outside Main,Queensbury Crypt Pipe Room,SCREENS,EAST,,
queensbury_crypt,Queensbury Crypt Castle Outside Main South Transition,Queensbury Crypt Castle Outside Main,Queensbury Crypt Broken Bridge,SCREENS,SOUTH,,
queensbury_crypt,Queensbury Crypt Castle Outside Main North Door,Queensbury Crypt Castle Outside Main,Queensbury Crypt Castle Entry,DOORS,NORTH,,
queensbury_crypt,Queensbury Crypt Castle Outside Balcony North Door,Queensbury Crypt Castle Outside Balcony,Queensbury Crypt Castle Entry,DOORS,NORTH,,
queensbury_crypt,Queensbury Crypt Pipe Room West Transition,Queensbury Crypt Pipe Room,Queensbury Crypt Castle Outside Main,SCREENS,WEST,,
queensbury_crypt, Queensbury Crypt Pipe Room Eastern Hearth Pipe,Queensbury Crypt Pipe Room,Eastern Hearth Grassland Waterfall Second Level,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,CanBurrow(),
queensbury_crypt,Queensbury Crypt Castle Entry Main Exit,Queensbury Crypt Castle Entry,Queensbury Crypt Castle Outside Main,DOORS,SOUTH,,
queensbury_crypt,Queensbury Crypt Castle Entry Balcony Exit,Queensbury Crypt Castle Entry,Queensbury Crypt Castle Outside Balcony,DOORS,SOUTH,,
queensbury_crypt,Queensbury Crypt Castle Entry Stair,Queensbury Crypt Castle Entry,Queensbury Crypt Castle Entryway,STAIRS,NORTH,,
queensbury_crypt,Queensbury Crypt Castle Entryway Stair,Queensbury Crypt Castle Entryway,Queensbury Crypt Castle Entry,STAIRS,NORTH,,
queensbury_crypt,Queensbury Crypt Castle Entryway North Transition,Queensbury Crypt Castle Entryway,Queensbury Crypt Castle Entryway Hall,SCREENS,NORTH,,
queensbury_crypt,Queensbury Crypt Castle Entryway Hall South Transition,Queensbury Crypt Castle Entryway Hall,Queensbury Crypt Castle Entryway,SCREENS,SOUTH,,
queensbury_crypt,Queensbury Crypt Castle Entryway Hall North Transition,Queensbury Crypt Castle Entryway Hall,Queensbury Crypt Castle Spike Roller 1,SCREENS,NORTH,,
queensbury_crypt,Queensbury Crypt Castle Entryway Hall West Transition,Queensbury Crypt Castle Entryway Hall,Queensbury Crypt Castle Entryway Traps,SCREENS,WEST,,
queensbury_crypt,Queensbury Crypt Castle Entryway Traps East Transition,Queensbury Crypt Castle Entryway Traps,Queensbury Crypt Castle Entryway Hall,SCREENS,EAST,,
queensbury_crypt,Queensbury Crypt Castle Spike Roller 1 South Transition,Queensbury Crypt Castle Spike Roller 1,Queensbury Crypt Castle Entryway Hall,SCREENS,SOUTH,,
queensbury_crypt,Queensbury Crypt Castle Spike Roller 1 East Transition,Queensbury Crypt Castle Spike Roller 1,Queensbury Crypt Castle Spike Rollers 2,SCREENS,EAST,,
queensbury_crypt,Queensbury Crypt Castle Spike Rollers 2 West Transition,Queensbury Crypt Castle Spike Rollers 2,Queensbury Crypt Castle Spike Roller 1,SCREENS,WEST,,
queensbury_crypt,Queensbury Crypt Castle Spike Rollers 2 North Transition,Queensbury Crypt Castle Spike Rollers 2,Queensbury Crypt Castle Broken Hall Main,SCREENS,NORTH,,
queensbury_crypt,Queensbury Crypt Castle Spike Rollers 2 East Transition,Queensbury Crypt Castle Spike Rollers 2,Queensbury Crypt Smelly Secret,SCREENS,EAST,,
queensbury_crypt,Queensbury Crypt Smelly Secret West Transition,Queensbury Crypt Smelly Secret,Queensbury Crypt Castle Spike Rollers 2,SCREENS,WEST,,
queensbury_crypt,Queensbury Crypt Castle Broken Hall Main South Transition,Queensbury Crypt Castle Broken Hall Main,Queensbury Crypt Castle Spike Rollers 2,SCREENS,SOUTH,,
queensbury_crypt,Queensbury Crypt Castle Broken Hall Main East Hidden Burrow,Queensbury Crypt Castle Broken Hall Main,Queensbury Crypt Hidden Tunnel,BURROW,EAST,,
queensbury_crypt,,Queensbury Crypt Castle Broken Hall Main,Queensbury Crypt Castle Broken Hall Top,INTERNAL,,CanBurrow(),
queensbury_crypt,,Queensbury Crypt Castle Broken Hall Top,Queensbury Crypt Castle Broken Hall Main,INTERNAL,,CanBurrow(),
queensbury_crypt,Queensbury Crypt Castle Broken Hall Top North Transition,Queensbury Crypt Castle Broken Hall Top,Queensbury Crypt Statue Gate Outside,SCREENS,NORTH,,
queensbury_crypt,Queensbury Crypt Hidden Tunnel West Burrow,Queensbury Crypt Hidden Tunnel,Queensbury Crypt Castle Broken Hall Main,BURROW,WEST,,
queensbury_crypt,Queensbury Crypt Statue Gate Outside South Transition,Queensbury Crypt Statue Gate Outside,Queensbury Crypt Castle Broken Hall Main,SCREENS,SOUTH,,
queensbury_crypt,,Queensbury Crypt Statue Gate Outside,Queensbury Crypt Statue Gate Stair,INTERNAL,,CanCarry(),
queensbury_crypt,Queensbury Crypt Statue Gate Stair Stairs,Queensbury Crypt Statue Gate Stair,Queensbury Crypt Ophidio Stair,STAIRS,NORTH,,
queensbury_crypt,Queensbury Crypt Ophidio Stair Left Stairs,Queensbury Crypt Ophidio Stair,Queensbury Crypt Statue Gate Stair,STAIRS,NORTH,,
queensbury_crypt,Queensbury Crypt Ophidio Stair Right Stairs,Queensbury Crypt Ophidio Stair,Queensbury Crypt Statue Head Hall Entrance,STAIRS,NORTH,,
queensbury_crypt,Queensbury Crypt Statue Head Hall Entrance Stairs,Queensbury Crypt Statue Head Hall Entrance,Queensbury Crypt Ophidio Stair,STAIRS,NORTH,,
queensbury_crypt,Queensbury Crypt Statue Head Hall Entrance North Transition,Queensbury Crypt Statue Head Hall Entrance,Queensbury Crypt Statue Head Hall,SCREENS,NORTH,,
queensbury_crypt,Queensbury Crypt Statue Head Hall Entrance Putrid East Transition,Queensbury Crypt Statue Head Hall Entrance Putrid,Queensbury Crypt Putrid Place,SCREENS,EAST,,
queensbury_crypt,Queensbury Crypt Statue Head Hall Entrance Putrid North Transition,Queensbury Crypt Statue Head Hall Entrance Putrid,Queensbury Crypt Statue Head Hall Putrid,SCREENS,NORTH,,
queensbury_crypt,Queensbury Crypt Statue Head Hall North Burrow West,Queensbury Crypt Statue Head Hall,Queensbury Crypt Mirror Room West,BURROW,NORTH,,
queensbury_crypt,,Queensbury Crypt Statue Head Hall,Queensbury Crypt Statue Head Hall Gate,INTERNAL,,CanCarry(),
queensbury_crypt,Queensbury Crypt Statue Head Hall North Burrow East,Queensbury Crypt Statue Head Hall,Queensbury Crypt Mirror Room East,BURROW,NORTH,,
queensbury_crypt,Queensbury Crypt Statue Head Hall South Burrow East,Queensbury Crypt Statue Head Hall,Queensbury Crypt Statue Shortcut,BURROW,SOUTH,,
queensbury_crypt,Queensbury Crypt Statue Head Hall South Burrow West,Queensbury Crypt Statue Head Hall,Queensbury Crypt Statue Shortcut,BURROW,SOUTH,,
queensbury_crypt,Queensbury Crypt Statue Head Hall East Transition,Queensbury Crypt Statue Head Hall,Queensbury Crypt East Head Corner,SCREENS,EAST,,
queensbury_crypt,Queensbury Crypt Statue Head Hall West Transition,Queensbury Crypt Statue Head Hall,Queensbury Crypt West Head Corner,SCREENS,WEST,,
queensbury_crypt,Queensbury Crypt Statue Head Hall Putrid South Transition,Queensbury Crypt Statue Head Hall Putrid,Queensbury Crypt Statue Head Hall Entrance Putrid,SCREENS,SOUTH,,
queensbury_crypt,Queensbury Crypt Statue Head Hall Putrid East Transition,Queensbury Crypt Statue Head Hall Putrid,Queensbury Crypt East Head Corner,SCREENS,EAST,,
queensbury_crypt,Queensbury Crypt Statue Head Hall Gate North Transition,Queensbury Crypt Statue Head Hall Gate,Queensbury Crypt Summoners Gate,SCREENS,NORTH,,
queensbury_crypt,Queensbury Crypt Mirror Room East South Burrow,Queensbury Crypt Mirror Room East,Queensbury Crypt Statue Head Hall,BURROW,SOUTH,,
queensbury_crypt,Queensbury Crypt Mirror Room East Mirror,Queensbury Crypt Mirror Room East,Astral Orrery Queensbury Mirror,MIRRORS,OVERWORLD,,
queensbury_crypt,Queensbury Crypt Mirror Room West South Burrow,Queensbury Crypt Mirror Room West,Queensbury Crypt Statue Head Hall,BURROW,SOUTH,,
queensbury_crypt,Queensbury Crypt Statue Shortcut North Burrow East,Queensbury Crypt Statue Shortcut,Queensbury Crypt Statue Head Hall,BURROW,NORTH,,
queensbury_crypt,Queensbury Crypt Statue Shortcut North Burrow West,Queensbury Crypt Statue Shortcut,Queensbury Crypt Statue Head Hall,BURROW,NORTH,,
queensbury_crypt,Queensbury Crypt East Head Corner West Transition,Queensbury Crypt East Head Corner,Queensbury Crypt Statue Head Hall,SCREENS,WEST,,
queensbury_crypt,Queensbury Crypt East Head Corner North Transition,Queensbury Crypt East Head Corner,Queensbury Crypt East Head Room,SCREENS,NORTH,,
queensbury_crypt,Queensbury Crypt East Head Corner West Putrid Transition,Queensbury Crypt East Head Corner,Queensbury Crypt Statue Head Hall Putrid,SCREENS,WEST,,
queensbury_crypt,Queensbury Crypt East Head Room South Transition,Queensbury Crypt East Head Room,Queensbury Crypt East Head Corner,SCREENS,SOUTH,,
queensbury_crypt,Queensbury Crypt West Head Corner East Transition,Queensbury Crypt West Head Corner,Queensbury Crypt Statue Head Hall,SCREENS,EAST,,
queensbury_crypt,Queensbury Crypt West Head Corner North Transition,Queensbury Crypt West Head Corner,Queensbury Crypt West Head Room,SCREENS,NORTH,,
queensbury_crypt,Queensbury Crypt West Head Room South Transition,Queensbury Crypt West Head Room,Queensbury Crypt West Head Corner,SCREENS,SOUTH,,
queensbury_crypt,Queensbury Crypt Putrid Place West Transition,Queensbury Crypt Putrid Place,Queensbury Crypt Statue Head Hall Entrance Putrid,SCREENS,WEST,,
queensbury_crypt,Queensbury Crypt Summoners Gate South Transition,Queensbury Crypt Summoners Gate,Queensbury Crypt Statue Head Hall Gate,SCREENS,SOUTH,,
queensbury_crypt,Queensbury Crypt Summoners Gate Stairs,Queensbury Crypt Summoners Gate,Queensbury Crypt Final Stairwell,STAIRS,NORTH,,
queensbury_crypt,Queensbury Crypt Final Stairwell Left Stairs,Queensbury Crypt Final Stairwell,Queensbury Crypt Summoners Gate,STAIRS,NORTH,,
queensbury_crypt,Queensbury Crypt Final Stairwell Right Stairs,Queensbury Crypt Final Stairwell,Queensbury Crypt Ancestral Chamber Entrance,STAIRS,NORTH,,
queensbury_crypt,Queensbury Crypt Rancid Room West Transition,Queensbury Crypt Rancid Room,Queensbury Crypt Ancestral Chamber Entrance,SCREENS,WEST,HasVialsCount(count=2),
queensbury_crypt,Queensbury Crypt Ancestral Chamber Entrance Stairs,Queensbury Crypt Ancestral Chamber Entrance,Queensbury Crypt Final Stairwell,STAIRS,NORTH,,
queensbury_crypt,Queensbury Crypt Ancestral Chamber Entrance East Transition,Queensbury Crypt Ancestral Chamber Entrance,Queensbury Crypt Rancid Room,SCREENS,EAST,HasVialsCount(count=2),
queensbury_crypt,Queensbury Crypt Ancestral Chamber Entrance North Transition,Queensbury Crypt Ancestral Chamber Entrance,Queensbury Crypt Ancestral Chamber Bridges South,SCREENS,NORTH,,
queensbury_crypt,,Queensbury Crypt Ancestral Chamber Bridges South,Queensbury Crypt Ancestral Chamber Bridges North,INTERNAL,,CanBurrow(),
queensbury_crypt,Queensbury Crypt Ancestral Chamber Bridges South South Transition,Queensbury Crypt Ancestral Chamber Bridges South,Queensbury Crypt Ancestral Chamber Entrance,SCREENS,SOUTH,,
queensbury_crypt,,Queensbury Crypt Ancestral Chamber Bridges North,Queensbury Crypt Ancestral Chamber Bridges South,INTERNAL,,CanBurrow(),
queensbury_crypt,Queensbury Crypt Ancestral Chamber Bridges North North Transition,Queensbury Crypt Ancestral Chamber Bridges North,Queensbury Crypt Ancestral Chamber foyer East,SCREENS,NORTH,,
queensbury_crypt,,Queensbury Crypt Ancestral Chamber foyer East,Queensbury Crypt Ancestral Chamber foyer West,INTERNAL,,CanBurrow(),
queensbury_crypt,Queensbury Crypt Ancestral Chamber foyer East South Transition,Queensbury Crypt Ancestral Chamber foyer East,Queensbury Crypt Ancestral Chamber Bridges North,SCREENS,SOUTH,,
queensbury_crypt,,Queensbury Crypt Ancestral Chamber foyer West,Queensbury Crypt Ancestral Chamber foyer East,INTERNAL,,CanBurrow(),
queensbury_crypt,Queensbury Crypt Ancestral Chamber foyer West North Transition,Queensbury Crypt Ancestral Chamber foyer West,Queensbury Crypt Ancestral Chamber Hall,SCREENS,NORTH,,
queensbury_crypt,Queensbury Crypt Ancestral Chamber foyer West West Transition,Queensbury Crypt Ancestral Chamber foyer West,Queensbury Crypt Ancestral Chamber Ropes East,SCREENS,WEST,,
queensbury_crypt,,Queensbury Crypt Ancestral Chamber Ropes East,Queensbury Crypt Ancestral Chamber Ropes West,INTERNAL,,CanBurrow() & CanClimb(),
queensbury_crypt,Queensbury Crypt Ancestral Chamber Ropes East East Transition,Queensbury Crypt Ancestral Chamber Ropes East,Queensbury Crypt Ancestral Chamber foyer West,SCREENS,EAST,,
queensbury_crypt,,Queensbury Crypt Ancestral Chamber Ropes Save,Queensbury Crypt Ancestral Chamber Ropes East,INTERNAL,,,
queensbury_crypt,Queensbury Crypt Ancestral Chamber Ropes West South Transition,Queensbury Crypt Ancestral Chamber Ropes West,Queensbury Crypt Ancestral Chamber Roller West,SCREENS,SOUTH,,
queensbury_crypt,Queensbury Crypt Ancestral Chamber Roller West North Transition,Queensbury Crypt Ancestral Chamber Roller West,Queensbury Crypt Ancestral Chamber Ropes West,SCREENS,NORTH,,
queensbury_crypt,,Queensbury Crypt Ancestral Chamber Roller West,Queensbury Crypt Ancestral Chamber Roller East,INTERNAL,,CanJumpTiles(distance=4),
queensbury_crypt,Queensbury Crypt Ancestral Chamber Roller West South Transition,Queensbury Crypt Ancestral Chamber Roller West,Queensbury Crypt Ancestral Chamber Trap,SCREENS,SOUTH,,
queensbury_crypt,,Queensbury Crypt Ancestral Chamber Roller East,Queensbury Crypt Ancestral Chamber Roller West,INTERNAL,,CanJumpTiles(distance=4),
queensbury_crypt,Queensbury Crypt Ancestral Chamber Roller East North Transition,Queensbury Crypt Ancestral Chamber Roller East,Queensbury Crypt Ancestral Chamber Ropes Save,SCREENS,NORTH,,
queensbury_crypt,Queensbury Crypt Ancestral Chamber Roller East South Transition,Queensbury Crypt Ancestral Chamber Roller East,Queensbury Crypt Ancestral Chamber Trap,SCREENS,SOUTH,,
queensbury_crypt,Queensbury Crypt Ancestral Chamber Trap North Transition West,Queensbury Crypt Ancestral Chamber Trap,Queensbury Crypt Ancestral Chamber Roller West,SCREENS,NORTH,,
queensbury_crypt,Queensbury Crypt Ancestral Chamber Trap North Transition East,Queensbury Crypt Ancestral Chamber Trap,Queensbury Crypt Ancestral Chamber Roller East,SCREENS,NORTH,,
queensbury_crypt,Queensbury Crypt Ancestral Chamber Hall South Transition,Queensbury Crypt Ancestral Chamber Hall,Queensbury Crypt Ancestral Chamber foyer West,SCREENS,SOUTH,,
queensbury_crypt,Queensbury Crypt Ancestral Chamber Hall North Transition,Queensbury Crypt Ancestral Chamber Hall,Queensbury Crypt Ancestral Chamber,SCREENS,NORTH,,
queensbury_crypt,Queensbury Crypt Ancestral Chamber South Transition,Queensbury Crypt Ancestral Chamber,Queensbury Crypt Ancestral Chamber Hall,SCREENS,SOUTH,,
queensbury_crypt,Queensbury Crypt Ancestral Chamber North Transition,Queensbury Crypt Ancestral Chamber,Queensbury Crypt Royal Tomb,SCREENS,NORTH,,
queensbury_crypt,Queensbury Crypt Royal Tomb North Duke Transition,Queensbury Crypt Royal Tomb,Queensbury Crypt Royal Tomb Seal,SCREENS,NORTH,,
queensbury_crypt,Queensbury Crypt Royal Tomb South Transition,Queensbury Crypt Royal Tomb,Queensbury Crypt Ancestral Chamber,SCREENS,SOUTH,,
queensbury_crypt,Queensbury Crypt Royal Tomb North Transition,Queensbury Crypt Royal Tomb,Queensbury Crypt Solemn Generator,STAIRS,NORTH,,
queensbury_crypt,Queensbury Crypt Royal Tomb Seal South Transition,Queensbury Crypt Royal Tomb Seal,Queensbury Crypt Royal Tomb,SCREENS,SOUTH,,
